Municipality Name,Email,Phone,Website
"...","","",""
"Abbeville	P. O. Box 427 Abbeville, AL 36310	(334) 585-6444	www.cityofabbeville.org	mwilson@cityofabbeville.org","mwilson@cityofabbeville.org","(334) 585-6444","www.cityofabbeville.org"
"Adamsville	P. O. Box 309 Adamsville, AL 35005	(205) 674-5671	www.cityofadamsville.org	lcarmichael@cityofadamsville.org","lcarmichael@cityofadamsville.org","(205) 674-5671","www.cityofadamsville.org"
"Addison	P. O. Box 98 Addison, AL 35540	(256) 747-2971	www.town-of-addison.com	addisonc@hiwaay.net","addisonc@hiwaay.net","(256) 747-2971","www.town-of-addison.com"
"Akron	P. O. Box 8 Akron, AL 35441	(205) 372-3148		townofakron2013@gmail.com","townofakron2013@gmail.com","(205) 372-3148",""
"Alabaster	1953 Municipal Way, Suite 101 Alabaster, AL 35007	(205) 664-6800	www.cityofalabaster.com	cityhall@cityofalabaster.com","cityhall@cityofalabaster.com","(205) 664-6800","www.cityofalabaster.com"
"Albertville	P. O. Box 1248 Albertville, AL 35950	(256) 891-8200	www.cityofalbertville.com	dawnsmith@cityofalbertvilleal.gov","dawnsmith@cityofalbertvilleal.gov","(256) 891-8200","www.cityofalbertville.com"
"Alexander City	281 James D. Nabors Dr Alexander City, AL 35010	(256) 329-6700	www.alexandercityal.gov	cityclerk@alexandercityal.gov","cityclerk@alexandercityal.gov","(256) 329-6700","www.alexandercityal.gov"
"Aliceville	419 Memorial Pkwy, Ne Aliceville, AL 35442	(205) 373-6611	www.thecityofaliceville.com	dmccaa@nctv.com","dmccaa@nctv.com","(205) 373-6611","www.thecityofaliceville.com"
"Allgood	P. O. Box 150 Allgood, AL 35013	(205) 274-7138		townofallgood@gmail.com","townofallgood@gmail.com","(205) 274-7138",""
"Altoona	P. O. Box 279 Altoona, AL 35952	(205) 589-2311	www.youraltoona.us	altoonaclerk@yahoo.com","altoonaclerk@yahoo.com","(205) 589-2311","www.youraltoona.us"
"Andalusia	P. O. Box 429 Andalusia, AL 36420	(334) 222-3313	www.cityofandalusia.com	kelly.ralls@cityofandalusia.com","kelly.ralls@cityofandalusia.com","(334) 222-3313","www.cityofandalusia.com"
"Anderson	P. O. Box 8 Anderson, AL 35610	(256) 247-3617		townofanderson@gmail.com","townofanderson@gmail.com","(256) 247-3617",""
"Anniston	P. O. Box 2168 Anniston, AL 36202	(256) 236-3422	www.annistonal.gov	sbass@annistonal.gov","sbass@annistonal.gov","(256) 236-3422","www.annistonal.gov"
"Arab	740 N. Main Street Arab, AL 35016	(256) 586-3544	www.arabcity.org	arab@arabcity.org","arab@arabcity.org","(256) 586-3544","www.arabcity.org"
"Ardmore	26494 First Street Ardmore, AL 35739	(256) 423-2549	www.townofardmorealabama.com	townofardmore@ardmore.net","townofardmore@ardmore.net","(256) 423-2549","www.townofardmorealabama.com"
"Argo	100 Blackjack Rd Argo, AL 35173	(205) 352-2120	www.cityofargo.org	city.argo@gmail.com","city.argo@gmail.com","(205) 352-2120","www.cityofargo.org"
"Ariton	P. O. Box 53 Ariton, AL 36311	(334) 762-2266		townofariton1906@gmail.com","townofariton1906@gmail.com","(334) 762-2266",""
"Arley	P. O. Box 146 Arley, AL 35541	(205) 387-0103		tfarley@bellsouth.net","tfarley@bellsouth.net","(205) 387-0103",""
"Ashford	P. O. Box 428 Ashford, AL 36312	(334) 899-3366	www.cityofashford.com	cityclerk@cityofashford.com","cityclerk@cityofashford.com","(334) 899-3366","www.cityofashford.com"
"Ashland	P. O. Box 849 Ashland, AL 36251	(256) 354-2121	https://www.cityofashlandal.com	ashlandcity1871@outlook.com","ashlandcity1871@outlook.com","(256) 354-2121","https://www.cityofashlandal.com"
"Ashville	P. O. Drawer 70 Ashville, AL 35953	(205) 594-4151	www.cityofashville.org	cstjohn@cityofashville.org","cstjohn@cityofashville.org","(205) 594-4151","www.cityofashville.org"
"Athens	P. O. Box 1089 Athens, AL 35612	(256) 233-8730	www.athensal.us","","(256) 233-8730","www.athensal.us"
"Atmore	P. O. Drawer 1297 Atmore, AL 36504	(251) 368-2253	https://welcometoatmore.com/	beccas@cityofatmore.com","beccas@cityofatmore.com","(251) 368-2253","https://welcometoatmore.com"
"Attalla	612 Fourth St. Nw Attalla, AL 35954	(256) 538-9986	www.attallacity.com	mcash@attallacity.org","mcash@attallacity.org","(256) 538-9986","www.attallacity.com"
"Auburn	144 Tichenor Ave., Suite 1 Auburn, AL 36830	(334) 501-7260	www.auburnalabama.org	webocm@auburnalabama.org","webocm@auburnalabama.org","(334) 501-7260","www.auburnalabama.org"
"Autaugaville	P. O. Box 237 Autaugaville, AL 36003	(334) 365-9563		jane.hyde@autaugavilleal.com","jane.hyde@autaugavilleal.com","(334) 365-9563",""
"Avon	732 Broadway Avenue Ashford, AL 36312	(334) 899-3715		townofavontownhall@hotmail.com","townofavontownhall@hotmail.com","(334) 899-3715",""
"Babbie	24123 Bethel Rd Opp, AL 36467	(334) 504-1407		townofbabbie@gmail.com","townofbabbie@gmail.com","(334) 504-1407",""
"Baileyton	P. O. Box 116 Baileyton, AL 35019	(256) 796-6447		baileytownhall@cyberbroadband.net","baileytownhall@cyberbroadband.net","(256) 796-6447",""
"Baker Hill	1896 Hwy 131 Baker Hill, AL 36027	(334) 616-6888		bakerhillgov@yahoo.com","bakerhillgov@yahoo.com","(334) 616-6888",""
"Banks	P. O. Box 6666 Banks, AL 36005	(334) 243-5768		townofbanks1@troycable.net","townofbanks1@troycable.net","(334) 243-5768",""
"Bay Minette	301 D'Olive Street Bay Minette, AL 36507	(251) 580-1619	www.cityofbayminette.org	cityhall@cityofbayminetteal.gov","cityhall@cityofbayminetteal.gov","(251) 580-1619","www.cityofbayminette.org"
"Bayou La Batre	13785 S. Wintzell Ave. Bayou La Batre, AL 36509	(251) 824-2171	www.cityofbayoulabatre.com	cityhall@cityofbayoulabatre.com","cityhall@cityofbayoulabatre.com","(251) 824-2171","www.cityofbayoulabatre.com"
"Bear Creek	P. O. Box 186 Bear Creek, AL 35543	(205) 486-4707	http://www.townofbearcreek.com/	bearcreek4707@yahoo.com","bearcreek4707@yahoo.com","(205) 486-4707","http://www.townofbearcreek.com"
"Beatrice	P. O. Box 56 Beatrice, AL 36425	(251) 789-2241		2beat.1901@frontiernet.net","2beat.1901@frontiernet.net","(251) 789-2241",""
"Beaverton	P. O. Box 70 Beaverton, AL 35544	(205) 698-0744		townofbeaverton@yahoo.com","townofbeaverton@yahoo.com","(205) 698-0744",""
"Belk	P.O. Box 195 Belk, AL 35545	(205) 932-9292		townofbelk@gmail.com","townofbelk@gmail.com","(205) 932-9292",""
"Benton	379 Washington St. Benton, AL 36785	(334) 874-7878		townofbenton@gmail.com","townofbenton@gmail.com","(334) 874-7878",""
"Berlin	461 County Road 1615 Cullman, AL 35058	(256) 736-3138	http://www.berlinal.gov	clerk@berlinal.org","clerk@berlinal.org","(256) 736-3138","http://www.berlinal.gov"
"Berry	30 School Ave. Berry, AL 35546	(205) 689-4562	www.townofberryalabama.org	townofberry@centurytel.net","townofberry@centurytel.net","(205) 689-4562","www.townofberryalabama.org"
"Bessemer	1700 Third Ave., N. Bessemer, AL 35020	(205) 424-4060	www.bessemeral.org	clerk@bessemeral.org","clerk@bessemeral.org","(205) 424-4060","www.bessemeral.org"
"Billingsley	P.O. Box 142 Billingsley, AL 36006	(205) 755-9809		billingsleytown2021@yahoo.com","billingsleytown2021@yahoo.com","(205) 755-9809",""
"Birmingham	710 North 20th St. Birmingham, AL 35203	(205) 254-2000	https://www.birminghamal.gov/","","(205) 254-2000","https://www.birminghamal.gov"
"Black	P. O. Box 301 Black, AL 36314	(334) 684-1340		townofblack1@gmail.com","townofblack1@gmail.com","(334) 684-1340",""
"Blountsville	P. O. Box 186 Blountsville, AL 35031	(205) 429-2406	www.blountsvilleal.com	townclerk@blountsvilleal.com","townclerk@blountsvilleal.com","(205) 429-2406","www.blountsvilleal.com"
"Blue Springs	2571 Highway 10 Clio, AL 36017	(334) 400-5101		townofbluesprings@gmail.com","townofbluesprings@gmail.com","(334) 400-5101",""
"Boaz	P.O. Box 537 Boaz, AL 35957	(256) 593-7679	www.cityofboaz.org	jeff.sims@cityofboaz.org","jeff.sims@cityofboaz.org","(256) 593-7679","www.cityofboaz.org"
"Boligee	P. O. Box 245 Boligee, AL 35443	(205) 336-8531		boligeemayor@yahoo.com","boligeemayor@yahoo.com","(205) 336-8531",""
"Bon Air	P. O. Box 117 Bon Air, AL 35032	(256) 346-3446		townofbonair@yahoo.com","townofbonair@yahoo.com","(256) 346-3446",""
"Brantley	P. O. Box 44 Brantley, AL 36009	(334) 527-8624	www.townofbrantley.org	diane.townofbrantley@gmail.com","diane.townofbrantley@gmail.com","(334) 527-8624","www.townofbrantley.org"
"Brent	P. O. Box 220 Brent, AL 35034	(205) 926-4643	cityofbrentalabama.com	cityofbrent@bellsouth.net","cityofbrent@bellsouth.net","(205) 926-4643",""
"Brewton	P. O. Box 368 Brewton, AL 36427	(251) 809-1770	www.cityofbrewton.org	bhartin@cityofbrewton.org","bhartin@cityofbrewton.org","(251) 809-1770","www.cityofbrewton.org"
