Name,Email,Phone,Website
"Abbeville	P. O. Box 427 Abbeville, AL 36310	(334) 585-6444	www.cityofabbeville.org	mwilson@cityofabbeville.org","mwilson@cityofabbeville.org","(334) 585-6444","www.cityofabbeville.org"
"Adamsville	P. O. Box 309 Adamsville, AL 35005	(205) 674-5671	www.cityofadamsville.org	lcarmichael@cityofadamsville.org","lcarmichael@cityofadamsville.org","(205) 674-5671","www.cityofadamsville.org"
"Addison	P. O. Box 98 Addison, AL 35540	(256) 747-2971	www.town-of-addison.com	addisonc@hiwaay.net","addisonc@hiwaay.net","(256) 747-2971","www.town-of-addison.com"
"Akron	P. O. Box 8 Akron, AL 35441	(205) 372-3148		townofakron2013@gmail.com","townofakron2013@gmail.com","(205) 372-3148",""
"Alabaster	1953 Municipal Way, Suite 101 Alabaster, AL 35007	(205) 664-6800	www.cityofalabaster.com	cityhall@cityofalabaster.com","cityhall@cityofalabaster.com","(205) 664-6800","www.cityofalabaster.com"
"Albertville	P. O. Box 1248 Albertville, AL 35950	(256) 891-8200	www.cityofalbertville.com	dawnsmith@cityofalbertvilleal.gov","dawnsmith@cityofalbertvilleal.gov","(256) 891-8200","www.cityofalbertville.com"
"Alexander City	281 James D. Nabors Dr Alexander City, AL 35010	(256) 329-6700	www.alexandercityal.gov	cityclerk@alexandercityal.gov","cityclerk@alexandercityal.gov","(256) 329-6700","www.alexandercityal.gov"
"Aliceville	419 Memorial Pkwy, Ne Aliceville, AL 35442	(205) 373-6611	www.thecityofaliceville.com	dmccaa@nctv.com","dmccaa@nctv.com","(205) 373-6611","www.thecityofaliceville.com"
"Allgood	P. O. Box 150 Allgood, AL 35013	(205) 274-7138		townofallgood@gmail.com","townofallgood@gmail.com","(205) 274-7138",""
"Altoona	P. O. Box 279 Altoona, AL 35952	(205) 589-2311	www.youraltoona.us	altoonaclerk@yahoo.com","altoonaclerk@yahoo.com","(205) 589-2311","www.youraltoona.us"
"Andalusia	P. O. Box 429 Andalusia, AL 36420	(334) 222-3313	www.cityofandalusia.com	kelly.ralls@cityofandalusia.com","kelly.ralls@cityofandalusia.com","(334) 222-3313","www.cityofandalusia.com"
"Anderson	P. O. Box 8 Anderson, AL 35610	(256) 247-3617		townofanderson@gmail.com","townofanderson@gmail.com","(256) 247-3617",""
"Anniston	P. O. Box 2168 Anniston, AL 36202	(256) 236-3422	www.annistonal.gov	sbass@annistonal.gov","sbass@annistonal.gov","(256) 236-3422","www.annistonal.gov"
"Arab	740 N. Main Street Arab, AL 35016	(256) 586-3544	www.arabcity.org	arab@arabcity.org","arab@arabcity.org","(256) 586-3544","www.arabcity.org"
"Ardmore	26494 First Street Ardmore, AL 35739	(256) 423-2549	www.townofardmorealabama.com	townofardmore@ardmore.net","townofardmore@ardmore.net","(256) 423-2549","www.townofardmorealabama.com"
"Argo	100 Blackjack Rd Argo, AL 35173	(205) 352-2120	www.cityofargo.org	city.argo@gmail.com","city.argo@gmail.com","(205) 352-2120","www.cityofargo.org"
"Ariton	P. O. Box 53 Ariton, AL 36311	(334) 762-2266		townofariton1906@gmail.com","townofariton1906@gmail.com","(334) 762-2266",""
"Arley	P. O. Box 146 Arley, AL 35541	(205) 387-0103		tfarley@bellsouth.net","tfarley@bellsouth.net","(205) 387-0103",""
"Ashford	P. O. Box 428 Ashford, AL 36312	(334) 899-3366	www.cityofashford.com	cityclerk@cityofashford.com","cityclerk@cityofashford.com","(334) 899-3366","www.cityofashford.com"
"Ashland	P. O. Box 849 Ashland, AL 36251	(256) 354-2121	https://www.cityofashlandal.com	ashlandcity1871@outlook.com","ashlandcity1871@outlook.com","(256) 354-2121","https://www.cityofashlandal.com"
