Name,Email,Phone,Website
"...","","",""
"Abbeville	P. O. Box 427 Abbeville, AL 36310	(334) 585-6444	www.cityofabbeville.org	mwilson@cityofabbeville.org","mwilson@cityofabbeville.org","(334) 585-6444","www.cityofabbeville.org"
"Adamsville	P. O. Box 309 Adamsville, AL 35005	(205) 674-5671	www.cityofadamsville.org	lcarmichael@cityofadamsville.org","lcarmichael@cityofadamsville.org","(205) 674-5671","www.cityofadamsville.org"
"Addison	P. O. Box 98 Addison, AL 35540	(256) 747-2971	www.town-of-addison.com	addisonc@hiwaay.net","addisonc@hiwaay.net","(256) 747-2971","www.town-of-addison.com"
"Akron	P. O. Box 8 Akron, AL 35441	(205) 372-3148		townofakron2013@gmail.com","townofakron2013@gmail.com","(205) 372-3148",""
"Alabaster	1953 Municipal Way, Suite 101 Alabaster, AL 35007	(205) 664-6800	www.cityofalabaster.com	cityhall@cityofalabaster.com","cityhall@cityofalabaster.com","(205) 664-6800","www.cityofalabaster.com"
"Albertville	P. O. Box 1248 Albertville, AL 35950	(256) 891-8200	www.cityofalbertville.com	dawnsmith@cityofalbertvilleal.gov","dawnsmith@cityofalbertvilleal.gov","(256) 891-8200","www.cityofalbertville.com"
"Alexander City	281 James D. Nabors Dr Alexander City, AL 35010	(256) 329-6700	www.alexandercityal.gov	cityclerk@alexandercityal.gov","cityclerk@alexandercityal.gov","(256) 329-6700","www.alexandercityal.gov"
"Aliceville	419 Memorial Pkwy, Ne Aliceville, AL 35442	(205) 373-6611	www.thecityofaliceville.com	dmccaa@nctv.com","dmccaa@nctv.com","(205) 373-6611","www.thecityofaliceville.com"
"Allgood	P. O. Box 150 Allgood, AL 35013	(205) 274-7138		townofallgood@gmail.com","townofallgood@gmail.com","(205) 274-7138",""
"Altoona	P. O. Box 279 Altoona, AL 35952	(205) 589-2311	www.youraltoona.us	altoonaclerk@yahoo.com","altoonaclerk@yahoo.com","(205) 589-2311","www.youraltoona.us"
"Andalusia	P. O. Box 429 Andalusia, AL 36420	(334) 222-3313	www.cityofandalusia.com	kelly.ralls@cityofandalusia.com","kelly.ralls@cityofandalusia.com","(334) 222-3313","www.cityofandalusia.com"
"Anderson	P. O. Box 8 Anderson, AL 35610	(256) 247-3617		townofanderson@gmail.com","townofanderson@gmail.com","(256) 247-3617",""
"Anniston	P. O. Box 2168 Anniston, AL 36202	(256) 236-3422	www.annistonal.gov	sbass@annistonal.gov","sbass@annistonal.gov","(256) 236-3422","www.annistonal.gov"
"Arab	740 N. Main Street Arab, AL 35016	(256) 586-3544	www.arabcity.org	arab@arabcity.org","arab@arabcity.org","(256) 586-3544","www.arabcity.org"
"Ardmore	26494 First Street Ardmore, AL 35739	(256) 423-2549	www.townofardmorealabama.com	townofardmore@ardmore.net","townofardmore@ardmore.net","(256) 423-2549","www.townofardmorealabama.com"
"Argo	100 Blackjack Rd Argo, AL 35173	(205) 352-2120	www.cityofargo.org	city.argo@gmail.com","city.argo@gmail.com","(205) 352-2120","www.cityofargo.org"
"Ariton	P. O. Box 53 Ariton, AL 36311	(334) 762-2266		townofariton1906@gmail.com","townofariton1906@gmail.com","(334) 762-2266",""
"Arley	P. O. Box 146 Arley, AL 35541	(205) 387-0103		tfarley@bellsouth.net","tfarley@bellsouth.net","(205) 387-0103",""
"Ashford	P. O. Box 428 Ashford, AL 36312	(334) 899-3366	www.cityofashford.com	cityclerk@cityofashford.com","cityclerk@cityofashford.com","(334) 899-3366","www.cityofashford.com"
"Ashland	P. O. Box 849 Ashland, AL 36251	(256) 354-2121	https://www.cityofashlandal.com	ashlandcity1871@outlook.com","ashlandcity1871@outlook.com","(256) 354-2121","https://www.cityofashlandal.com"
"Helena	P. O. Box 613 Helena, AL 35080	(205) 663-2161	www.cityofhelena.org	mharris@cityofhelena.org","mharris@cityofhelena.org","(205) 663-2161","www.cityofhelena.org"
"Henagar	P. O. Box 39 Henagar, AL 35978	(256) 657-6282	www.cityofhenagar.com	cityofhenagar@farmerstel.com","cityofhenagar@farmerstel.com","(256) 657-6282","www.cityofhenagar.com"
"Highland Lake	612 Lakeshore Dr. Highland Lake, AL 35121	(205) 625-6407	www.townofhighlandlake.com	highlandlake612@gmail.com","highlandlake612@gmail.com","(205) 625-6407","www.townofhighlandlake.com"
"Hillsboro	P. O. Box 10 Hillsboro, AL 35643	(256) 637-2070		cityofhillsboro1@bellsouth.net","cityofhillsboro1@bellsouth.net","(256) 637-2070",""
"Hobson City	715 Martin L. King, Jr. Dr. Hobson City, AL 36201	(256) 831-4940	www.townofhobsoncity.com	hobsoncityclerk@bellsouth.net","hobsoncityclerk@bellsouth.net","(256) 831-4940","www.townofhobsoncity.com"
"Hodges	P. O. Box 87 Hodges, AL 35571	(205) 935-3445		townofhodges1907@outlook.com","townofhodges1907@outlook.com","(205) 935-3445",""
"Hokes Bluff	P. O. Box 2338 East Gadsden, AL 35903	(256) 492-2414	www.cityofhokesbluff.com	hbcity@cityofhokesbluff.com","hbcity@cityofhokesbluff.com","(256) 492-2414","www.cityofhokesbluff.com"
"Holly Pond	P. O. Box 9 Holly Pond, AL 35083	(256) 796-2124	www.townofhollypond.com	townofhollypond@outlook.com","townofhollypond@outlook.com","(256) 796-2124","www.townofhollypond.com"
"Hollywood	P. O. Box 240 Hollywood, AL 35752	(256) 259-4845	www.thetownofhollywood.com	townofhollywood@yahoo.com","townofhollywood@yahoo.com","(256) 259-4845","www.thetownofhollywood.com"
"Homewood	P. O. Box 59666 Homewood, AL 35259	(205) 332-6100	www.homewoodal.net	bo.seagrist@homewoodal.org","bo.seagrist@homewoodal.org","(205) 332-6100","www.homewoodal.net"
"Hoover	100 Municipal Lane Hoover, AL 35216	(205) 444-7500	www.hooveralabama.gov	wendy.dickerson@hooveralabama.gov","wendy.dickerson@hooveralabama.gov","(205) 444-7500","www.hooveralabama.gov"
"Hueytown	1318 Hueytown Road Hueytown, AL 35023	(205) 491-7010	http://hueytownal.org	kfouts@hueytownal.org","kfouts@hueytownal.org","(205) 491-7010","http://hueytownal.org"
"Huntsville	P. O. Box 308 Huntsville, AL 35804	(256) 427-5000	www.huntsvilleal.gov	shaundrika.edwards@huntsvilleal.gov","shaundrika.edwards@huntsvilleal.gov","(256) 427-5000","www.huntsvilleal.gov"
"Hurtsboro	P. O. Box 358 Hurtsboro, AL 36860	(334) 667-7771	www.hurtsboro.us	townclerkhurtsboro@gmail.com","townclerkhurtsboro@gmail.com","(334) 667-7771","www.hurtsboro.us"
"Hytop	30332 Alabama Highway 79 Scottsboro, AL 35768	(256) 587-6094		hytoptown@centurytel.net","hytoptown@centurytel.net","(256) 587-6094",""
"Ider	P. O. Box 157 Ider, AL 35981	(256) 657-4184		townofiderclerk@farmerstel.com","townofiderclerk@farmerstel.com","(256) 657-4184",""
"Indian Springs	2635 Cahaba Valley Rd. Indian Springs, AL 35124	(205) 982-1755	www.indianspringsvillage.org	townclerk@indianspringsvillage.org","townclerk@indianspringsvillage.org","(205) 982-1755","www.indianspringsvillage.org"
"Irondale	P.O. Box 100188 Irondale, AL 35210	(205) 956-9200	https://www.cityofirondaleal.gov	mlockridge@cityofirondaleal.gov","mlockridge@cityofirondaleal.gov","(205) 956-9200","https://www.cityofirondaleal.gov"
"Jackson	P. O. Box 1096 Jackson, AL 36545	(251) 246-2461	http://cityofjacksonal.com	info@cityhalljacksonal.com","info@cityhalljacksonal.com","(251) 246-2461","http://cityofjacksonal.com"
"Jackson's Gap	P. O. Box 162 Jackson's Gap, AL 36861	(256) 825-8518	townofjacksonsgap.com	kt.jgmtownhall@gmail.com","kt.jgmtownhall@gmail.com","(256) 825-8518",""
"Talladega	P.O. Box 498 Talladega, AL 35161	(256) 362-8186	www.talladega.com	jmedlen@talladega.com","jmedlen@talladega.com","(256) 362-8186","www.talladega.com"
"Talladega Springs	40 Granberry Drive Sylacauga, AL 35151	(256) 249-0802		mv7535@yahoo.com","mv7535@yahoo.com","(256) 249-0802",""
